id;clusterId;vertexId;distance
0;9;0;1
1;10;5;1
2;4;5;1
3;14;5;1
4;8;5;1
5;8;11;1
6;1;21;1
7;10;23;1
8;4;40;1
9;14;40;1
10;0;51;1
11;9;51;0
12;3;51;1
13;8;53;1
14;12;55;1
15;3;69;1
16;6;72;1
17;10;72;1
18;7;72;1
19;12;73;1
20;8;77;1
21;12;77;1
22;9;78;1
23;6;81;1
24;12;81;1
25;8;85;1
26;6;92;1
27;12;92;1
28;5;95;1
29;1;99;1
30;6;105;1
31;9;105;1
32;5;105;1
33;5;108;1
34;5;116;1
35;12;116;1
36;12;115;1
37;12;117;1
38;4;119;1
39;8;119;1
40;8;131;1
41;6;133;1
42;5;141;1
43;12;151;1
44;12;157;1
45;14;160;1
46;8;160;1
47;14;161;1
48;14;165;1
49;12;166;1
50;5;170;1
51;11;172;1
52;9;172;1
53;8;172;1
54;8;188;1
55;12;188;1
56;14;190;1
57;5;190;1
58;4;191;1
59;14;193;0
60;8;206;1
61;3;212;1
62;5;220;1
63;6;221;1
64;4;221;1
65;12;221;1
66;6;226;1
67;8;226;1
68;6;228;1
69;10;228;1
70;7;228;1
71;14;239;1
72;12;242;1
73;6;251;1
74;12;256;1
75;9;260;1
76;8;277;1
77;6;280;1
78;10;280;1
79;4;280;1
80;7;280;1
81;5;293;1
82;0;294;1
83;9;294;1
84;11;297;1
85;1;302;1
86;8;302;1
87;0;310;1
88;11;310;1
89;8;315;1
90;5;316;1
91;1;321;1
92;8;321;1
93;5;335;1
94;6;340;1
95;10;340;1
96;7;340;1
97;6;341;1
98;9;341;1
99;14;341;1
100;5;341;1
101;7;349;1
102;12;349;1
103;14;348;0
104;13;350;1
105;1;350;1
106;6;354;1
107;4;354;1
108;8;354;1
109;12;354;1
110;1;359;1
111;14;359;1
112;6;365;1
113;12;365;1
114;7;371;1
115;2;374;1
116;3;374;1
117;8;374;1
118;13;377;1
119;12;385;1
120;11;393;1
121;5;393;1
122;10;395;1
123;3;395;1
124;8;395;1
125;13;398;1
126;9;398;1
127;14;398;1
128;12;402;1
129;1;406;1
130;8;406;1
131;2;409;1
132;14;413;1
133;8;413;1
134;14;425;1
135;5;433;1
136;10;445;1
137;12;445;1
138;1;450;1
139;8;450;1
140;8;456;1
141;12;456;1
142;8;459;1
143;12;467;1
144;4;468;1
145;8;481;1
146;10;483;1
147;4;483;1
148;12;490;1
149;13;491;1
150;4;491;1
151;8;499;1
152;2;507;1
153;14;508;1
154;6;512;1
155;10;512;1
156;7;512;1
157;14;520;1
158;9;526;1
159;9;527;1
160;14;527;1
161;3;527;1
162;8;527;1
163;6;531;1
164;11;531;1
165;10;531;1
