id;clusterId;vertexId;distance
0;9;0;1
1;5;5;1
2;2;5;1
3;1;5;1
4;6;5;1
5;6;11;1
6;12;21;1
7;2;23;1
8;5;40;1
9;1;40;1
10;11;51;1
11;9;51;0
12;13;51;1
13;6;53;1
14;7;55;1
15;13;69;1
16;4;72;1
17;2;72;1
18;14;72;1
19;7;73;1
20;6;77;1
21;7;77;1
22;9;78;1
23;4;81;1
24;7;81;1
25;6;85;1
26;4;92;1
27;7;92;1
28;3;95;1
29;12;99;1
30;4;104;1
31;9;104;1
32;3;104;1
33;3;107;1
34;3;115;1
35;7;115;1
36;7;114;1
37;7;116;1
38;1;118;1
39;6;118;1
40;6;130;1
41;4;132;1
42;3;140;1
43;7;150;1
44;7;156;1
45;5;159;1
46;6;159;1
47;5;160;1
48;5;164;1
49;7;165;1
50;3;169;1
51;8;171;1
52;9;171;1
53;6;171;1
54;6;187;1
55;7;187;1
56;5;189;1
57;3;189;1
58;1;190;1
59;5;192;0
60;6;205;1
61;13;211;1
62;3;219;1
63;4;220;1
64;1;220;1
65;7;220;1
66;4;225;1
67;6;225;1
68;4;227;1
69;2;227;1
70;14;227;1
71;5;238;1
72;7;241;1
73;4;250;1
74;7;255;1
75;9;259;1
76;6;276;1
77;4;279;1
78;2;279;1
79;1;279;1
80;14;279;1
81;3;292;1
82;11;293;1
83;9;293;1
84;8;296;1
85;12;301;1
86;6;301;1
87;11;309;1
88;8;309;1
89;6;314;1
90;3;315;1
91;12;320;1
92;6;320;1
93;3;334;1
94;4;339;1
95;2;339;1
96;14;339;1
97;5;340;1
98;4;340;1
99;9;340;1
100;3;340;1
101;14;348;1
102;7;348;1
103;5;347;0
104;10;349;1
105;12;349;1
106;4;353;1
107;1;353;1
108;6;353;1
109;7;353;1
110;5;358;1
111;12;358;1
112;4;364;1
113;7;364;1
114;14;370;1
115;0;373;1
116;13;373;1
117;6;373;1
118;10;376;1
119;7;384;1
120;8;392;1
121;3;392;1
122;2;394;1
123;13;394;1
124;6;394;1
125;10;397;1
126;5;397;1
127;9;397;1
128;7;401;1
129;12;405;1
130;6;405;1
131;0;408;1
132;5;412;1
133;6;412;1
134;5;424;1
135;3;432;1
136;2;444;1
137;7;444;1
138;12;449;1
139;6;449;1
140;6;455;1
141;7;455;1
142;6;458;1
143;7;466;1
144;1;467;1
145;6;480;1
146;2;482;1
147;1;482;1
