id;clusterId;vertexId;distance
0;8;0;1
1;14;5;1
2;12;5;1
3;4;5;1
4;13;5;1
5;13;11;1
6;0;21;1
7;14;23;1
8;12;40;1
9;4;40;1
10;1;51;1
11;8;51;0
12;3;51;1
13;13;53;1
14;5;55;1
15;3;69;1
16;11;72;1
17;14;72;1
18;6;72;1
19;5;73;1
20;13;77;1
21;5;77;1
22;8;78;1
23;11;81;1
24;5;81;1
25;13;85;1
26;11;92;1
27;5;92;1
28;9;95;1
29;0;99;1
30;11;104;1
31;8;104;1
32;9;104;1
33;9;107;1
34;9;115;1
35;5;115;1
36;5;114;1
37;5;116;1
38;12;118;1
39;13;118;1
40;13;130;1
41;11;132;1
42;9;140;1
43;5;150;1
44;5;156;1
45;4;159;1
46;13;159;1
47;4;160;1
48;4;164;1
49;5;165;1
50;9;169;1
51;7;171;1
52;8;171;1
53;13;171;1
54;13;187;1
55;5;187;1
56;4;189;1
57;9;189;1
58;12;190;1
59;4;192;0
60;13;205;1
61;3;211;1
62;9;219;1
63;11;220;1
64;12;220;1
65;5;220;1
66;11;225;1
67;13;225;1
68;11;227;1
69;14;227;1
70;6;227;1
71;4;238;1
72;5;241;1
73;11;250;1
74;5;255;1
75;8;259;1
76;13;276;1
77;11;279;1
78;14;279;1
79;12;279;1
80;6;279;1
81;9;292;1
82;1;293;1
83;8;293;1
84;7;296;1
85;0;301;1
86;13;301;1
87;1;309;1
88;7;309;1
89;13;314;1
90;9;315;1
91;0;320;1
92;13;320;1
93;9;334;1
94;11;339;1
95;14;339;1
96;6;339;1
97;11;340;1
98;8;340;1
99;4;340;1
100;9;340;1
101;6;348;1
102;5;348;1
103;4;347;0
104;10;349;1
105;0;349;1
106;11;353;1
107;12;353;1
108;13;353;1
109;5;353;1
110;0;358;1
111;4;358;1
112;11;364;1
113;5;364;1
114;6;370;1
115;2;373;1
116;3;373;1
117;13;373;1
118;10;376;1
119;5;384;1
120;7;392;1
121;9;392;1
122;14;394;1
123;3;394;1
124;13;394;1
125;10;397;1
126;8;397;1
127;4;397;1
128;5;401;1
129;0;405;1
130;13;405;1
131;2;408;1
132;4;412;1
133;13;412;1
134;4;424;1
135;9;432;1
136;14;444;1
137;5;444;1
138;0;449;1
139;13;449;1
140;13;455;1
141;5;455;1
142;13;458;1
143;5;466;1
144;12;467;1
145;13;480;1
146;14;482;1
147;12;482;1
148;5;489;1
149;10;490;1
150;12;490;1
151;13;498;1
152;2;506;1
153;4;507;1
154;11;511;1
155;14;511;1
156;6;511;1
157;4;519;1
158;8;525;1
159;8;526;1
160;4;526;1
161;3;526;1
162;13;526;1
163;11;530;1
164;7;530;1
165;14;530;1
166;6;530;1
167;13;530;1
168;14;532;1
169;10;533;1
170;11;533;1
171;4;533;1
172;8;545;1
173;7;548;1
174;9;548;1
175;1;554;1
176;6;562;1
177;13;578;1
178;12;581;1
179;13;581;1
180;4;583;-1
181;4;583;1
182;13;583;1
183;11;585;1
184;5;585;1
185;5;587;1
186;1;588;1
187;0;588;1
188;8;588;1
189;2;588;1
190;9;588;1
191;3;588;1
192;11;589;1
193;12;589;1
194;5;589;1
195;0;597;1
196;11;598;1
197;2;598;1
198;5;598;1
199;5;607;1
200;0;612;1
201;13;612;1
202;9;625;1
203;7;626;1
204;13;627;1
205;11;640;1
206;14;640;1
207;4;640;1
208;6;640;1
209;13;640;1
210;14;644;1
211;3;645;1
212;1;646;1
213;9;646;1
214;4;648;1
215;3;650;1
216;14;658;1
217;9;659;1
218;7;660;1
219;11;663;1
220;4;663;1
221;6;663;1
222;13;663;1
223;5;669;1
224;10;670;1
225;0;670;0
226;4;670;1
227;12;683;1
228;4;685;1
229;6;697;1
230;5;709;1
231;14;713;1
232;5;715;1
233;8;717;1
234;3;717;1
235;13;721;1
236;5;722;1
237;9;729;1
238;6;737;1
239;4;742;1
240;9;744;1
241;3;747;1
242;8;749;1
243;3;749;1
244;11;753;1
245;5;753;1
246;3;768;1
247;5;774;1
248;7;773;1
249;9;781;1
250;8;784;1
251;11;788;1
252;10;790;0
253;0;790;1
254;7;790;1
255;3;790;1
256;13;792;1
257;1;793;1
258;14;793;1
259;1;804;1
260;9;804;1
261;8;807;1
262;6;807;1
263;9;839;1
264;5;839;1
265;8;843;1
266;8;852;1
267;8;856;1
268;2;866;1
269;9;869;1
270;5;873;1
271;11;882;1
272;7;882;1
273;14;882;1
274;12;882;1
275;4;882;1
276;6;882;1
277;13;882;1
278;0;884;1
279;13;884;1
280;8;892;1
281;5;892;1
282;1;895;1
283;11;895;1
284;8;895;1
285;9;895;1
286;11;904;1
287;14;907;1
288;11;912;1
289;14;912;1
290;6;912;1
291;1;916;1
292;8;916;0
293;8;916;1
294;3;916;1
295;1;926;1
296;1;928;1
297;9;946;1
298;11;950;1
299;5;950;1
300;5;957;1
301;8;961;1
302;14;961;1
303;3;961;1
304;13;962;1
305;5;964;1
306;6;965;1
307;14;966;1
308;12;966;1
309;6;966;1
310;13;966;1
311;11;988;1
312;5;988;1
313;4;989;1
314;10;990;1
315;8;990;1
316;5;991;1
317;12;994;1
318;5;994;1
319;5;997;1
320;4;1005;1
321;11;1011;1
322;5;1011;1
323;11;1013;1
324;14;1013;1
325;6;1013;1
326;13;1013;1
327;9;1012;1
328;7;1018;1
329;7;1017;1
330;13;1020;1
331;11;1022;1
332;12;1022;1
333;6;1025;0
334;6;1025;1
335;13;1025;1
336;9;1029;1
337;14;1043;1
338;5;1051;1
339;8;1054;1
340;3;1054;1
341;1;1061;1
342;9;1061;0
343;9;1061;1
344;9;1062;1
345;11;1065;1
346;14;1065;1
347;6;1065;1
348;9;1067;1
349;6;1068;1
350;5;1073;1
351;3;1078;1
352;11;1090;1
353;13;1090;1
354;12;1096;1
355;4;1096;1
356;5;1096;1
357;11;1098;1
358;7;1115;1
359;9;1117;1
360;9;1124;1
361;12;1126;1
362;9;1128;1
363;11;1135;1
364;5;1135;1
365;11;1143;1
366;8;1143;1
367;4;1143;1
368;9;1143;1
369;13;1143;1
370;9;1148;1
371;9;1151;1
372;7;1152;1
373;11;1162;1
374;4;1162;0
375;4;1162;1
376;13;1162;1
377;7;1164;1
378;9;1164;1
379;9;1166;1
380;4;1170;0
381;7;1180;1
382;11;1182;1
383;8;1182;1
384;9;1182;1
385;5;1194;1
386;0;1199;1
387;13;1199;1
388;3;1200;1
389;8;1225;1
390;4;1234;1
391;7;1251;1
392;13;1251;1
393;0;1271;1
394;13;1271;1
395;4;1272;1
396;13;1272;1
397;1;1282;1
398;0;1291;1
399;5;1292;1
400;9;1308;1
401;11;1315;1
402;8;1315;1
403;8;1316;1
404;4;1316;1
405;3;1316;1
406;5;1316;1
407;11;1320;1
408;8;1320;1
409;8;1319;1
410;3;1319;1
411;11;1324;1
412;9;1330;1
413;8;1331;1
414;14;1331;1
415;3;1331;1
416;4;1333;1
417;13;1333;1
418;9;1336;1
419;14;1338;1
420;13;1341;1
421;5;1353;1
422;0;1358;1
423;14;1358;1
424;11;1370;1
425;4;1370;1
426;5;1370;1
427;1;1376;1
428;11;1376;1
429;8;1376;1
430;9;1376;1
431;11;1381;1
432;6;1381;1
433;9;1383;1
434;5;1386;1
435;6;1387;1
436;11;1388;1
437;4;1388;1
438;6;1388;1
439;13;1388;1
440;1;1401;1
441;5;1403;1
442;5;1407;1
443;4;1410;1
444;13;1410;1
445;11;1415;0
446;11;1415;1
447;8;1415;1
448;4;1415;1
449;3;1415;1
450;6;1415;1
451;4;1425;1
452;13;1425;1
453;14;1429;1
454;4;1434;0
455;4;1435;1
456;13;1435;1
457;1;1440;1
458;0;1440;1
459;8;1440;1
460;2;1440;1
461;9;1440;1
462;3;1440;1
463;8;1448;1
464;4;1465;1
465;9;1473;1
466;11;1476;1
467;5;1504;1
468;3;1505;1
469;0;1513;1
470;5;1514;1
471;7;1524;1
472;1;1526;1
473;11;1529;1
474;5;1529;1
475;13;1533;1
476;6;1539;1
477;11;1540;1
478;11;1541;1
479;2;1545;1
480;11;1549;1
481;14;1549;1
482;4;1549;1
483;6;1549;1
484;13;1549;1
485;13;1552;1
486;11;1554;1
487;3;1554;1
488;5;1554;1
489;11;1560;1
490;14;1560;1
491;6;1560;1
492;9;1567;1
493;14;1573;1
494;13;1573;1
495;3;1576;1
496;4;1578;1
497;3;1578;1
498;11;1592;1
499;8;1592;1
500;9;1592;1
501;8;1594;1
502;12;1594;1
503;13;1594;1
504;9;1596;1
505;5;1604;1
506;5;1606;1
507;4;1609;1
508;3;1609;1
509;0;1618;1
510;7;1618;1
511;11;1622;1
512;5;1622;1
513;11;1633;1
514;13;1633;1
515;5;1633;1
516;2;1635;1
517;4;1635;1
518;9;1635;1
519;1;1640;1
520;14;1647;1
521;11;1650;1
522;7;1648;1
523;6;1652;1
524;9;1655;1
525;8;1656;1
526;12;1663;1
527;11;1668;1
528;13;1668;1
529;9;1681;1
530;3;1681;1
531;13;1689;1
532;9;1690;1
533;6;1700;1
534;4;1701;1
535;5;1703;1
536;9;1705;1
537;3;1708;1
538;7;1715;1
539;9;1715;1
540;13;1724;1
541;13;1733;1
542;11;1743;1
543;5;1743;1
544;5;1746;1
545;14;1751;1
546;0;1757;1
547;4;1763;1
548;13;1763;1
549;12;1764;1
550;0;1767;1
551;13;1767;1
552;5;1790;1
553;3;1796;1
554;13;1796;1
555;7;1800;1
556;1;1802;1
557;2;1803;1
558;9;1803;1
559;3;1806;1
560;8;1809;1
561;4;1809;1
562;3;1809;1
563;13;1809;1
564;6;1814;1
565;4;1815;1
566;9;1819;1
567;1;1820;1
568;5;1827;1
569;5;1833;0
570;8;1835;1
571;12;1835;1
572;4;1835;1
573;6;1835;1
574;11;1853;1
575;7;1853;1
576;14;1853;1
577;6;1853;1
578;9;1864;1
579;14;1866;1
580;7;1865;1
581;4;1885;1
582;13;1885;1
583;11;1898;1
584;1;1904;1
585;8;1904;1
586;14;1904;1
587;13;1905;1
588;12;1908;1
589;4;1908;1
590;11;1916;1
591;14;1916;1
592;6;1919;1
593;4;1920;1
594;11;1929;1
595;12;1929;1
596;6;1929;1
597;5;1929;1
598;1;1930;1
599;4;1946;1
600;6;1946;1
601;13;1950;1
602;9;1953;1
603;14;1964;0
604;13;1964;1
605;14;1971;1
606;5;1972;1
607;3;1974;1
608;13;1974;1
609;5;1975;1
610;13;1986;1
611;7;1989;1
612;4;1992;0
613;1;1993;1
614;11;1996;1
615;5;1996;1
616;9;1997;1
617;0;1999;1
618;13;1999;1
619;0;2002;1
620;7;2003;1
621;12;2004;1
622;13;2004;1
623;4;2007;1
624;13;2007;1
625;5;2007;1
626;12;2013;1
627;4;2014;1
628;13;2014;1
629;3;2016;1
630;7;2019;1
631;11;2021;1
632;5;2021;1
633;1;2024;1
634;9;2028;1
635;11;2038;1
636;14;2038;0
637;14;2038;1
638;4;2038;1
639;6;2038;1
640;5;2059;1
