id;clusterId;vertexId;distance
0;13;0;1
1;11;5;1
2;4;5;1
3;14;5;1
4;2;5;1
5;2;11;1
6;9;21;1
7;11;23;1
8;4;40;1
9;14;40;1
10;8;51;1
11;13;51;0
12;6;51;1
13;2;53;1
14;1;55;1
15;6;69;1
16;5;72;1
17;11;72;1
18;7;72;1
19;1;73;1
20;2;77;1
21;1;77;1
22;13;78;1
23;5;81;1
24;1;81;1
25;2;85;1
26;5;92;1
27;1;92;1
28;3;95;1
29;9;99;1
30;5;104;1
31;13;104;1
32;3;104;1
33;3;107;1
34;3;115;1
35;1;115;1
36;1;114;1
37;1;116;1
38;4;118;1
39;2;118;1
40;2;130;1
41;5;132;1
42;3;140;1
43;1;150;1
44;1;156;1
45;14;159;1
46;2;159;1
47;14;160;1
48;14;164;1
49;1;165;1
50;3;169;1
51;10;171;1
52;13;171;1
53;2;171;1
54;2;187;1
55;1;187;1
56;14;189;1
57;3;189;1
58;4;190;1
59;14;192;0
60;2;205;1
61;6;211;1
62;3;219;1
63;5;220;1
64;4;220;1
65;1;220;1
66;5;225;1
67;2;225;1
68;5;227;1
69;11;227;1
70;7;227;1
71;14;238;1
72;1;241;1
73;5;250;1
74;1;255;1
75;13;259;1
76;2;276;1
77;5;279;1
78;11;279;1
79;4;279;1
80;7;279;1
81;3;292;1
82;8;293;1
83;13;293;1
84;10;296;1
85;9;301;1
86;2;301;1
87;8;309;1
88;10;309;1
89;2;314;1
90;3;315;1
91;9;320;1
92;2;320;1
93;3;334;1
94;5;339;1
95;11;339;1
96;7;339;1
97;5;340;1
98;13;340;1
99;14;340;1
100;3;340;1
101;7;348;1
102;1;348;1
103;14;347;0
104;0;349;1
105;9;349;1
106;5;353;1
107;4;353;1
108;2;353;1
109;1;353;1
110;9;358;1
111;14;358;1
112;5;364;1
113;1;364;1
114;7;370;1
115;12;373;1
116;6;373;1
117;2;373;1
118;0;376;1
119;1;384;1
120;10;392;1
121;3;392;1
122;11;394;1
123;6;394;1
124;2;394;1
125;0;397;1
126;13;397;1
127;14;397;1
128;1;401;1
129;9;405;1
130;2;405;1
131;12;408;1
132;14;412;1
133;2;412;1
134;14;424;1
135;3;432;1
136;11;444;1
137;1;444;1
138;9;449;1
139;2;449;1
140;2;455;1
141;1;455;1
142;2;458;1
143;1;466;1
144;4;467;1
145;2;480;1
146;11;482;1
147;4;482;1
148;1;489;1
149;0;490;1
150;4;490;1
151;2;498;1
152;12;506;1
153;14;507;1
154;5;511;1
155;11;511;1
156;7;511;1
157;14;519;1
158;13;525;1
159;13;526;1
160;14;526;1
161;6;526;1
162;2;526;1
163;5;530;1
164;10;530;1
165;11;530;1
166;7;530;1
167;2;530;1
168;11;532;1
169;0;533;1
170;5;533;1
171;14;533;1
172;13;545;1
173;10;548;1
174;3;548;1
175;8;554;1
176;7;562;1
177;2;578;1
178;4;581;1
179;2;581;1
180;14;583;-1
181;14;583;1
182;2;583;1
183;5;585;1
184;1;585;1
185;1;587;1
186;8;588;1
187;9;588;1
188;13;588;1
189;12;588;1
190;3;588;1
191;6;588;1
192;5;589;1
193;4;589;1
194;1;589;1
195;9;597;1
196;5;598;1
197;12;598;1
198;1;598;1
199;1;607;1
200;9;612;1
201;2;612;1
202;3;625;1
203;10;626;1
204;2;627;1
205;5;640;1
206;11;640;1
207;14;640;1
208;7;640;1
209;2;640;1
210;11;644;1
211;6;645;1
212;8;646;1
213;3;646;1
214;14;648;1
215;6;650;1
216;11;658;1
217;3;659;1
218;10;660;1
219;5;663;1
220;14;663;1
221;7;663;1
222;2;663;1
223;1;669;1
224;0;670;1
225;9;670;0
226;14;670;1
227;4;683;1
228;14;685;1
229;7;697;1
230;1;709;1
231;11;713;1
232;1;715;1
233;13;717;1
234;6;717;1
235;2;721;1
236;1;722;1
237;3;729;1
238;7;737;1
239;14;742;1
240;3;744;1
241;6;747;1
242;13;749;1
243;6;749;1
244;5;753;1
245;1;753;1
246;6;768;1
247;1;774;1
248;10;773;1
249;3;781;1
250;13;784;1
251;5;788;1
252;0;790;0
253;9;790;1
254;10;790;1
255;6;790;1
256;2;792;1
257;8;793;1
258;11;793;1
259;8;804;1
260;3;804;1
261;13;807;1
262;7;807;1
263;3;839;1
264;1;839;1
265;13;843;1
266;13;852;1
267;13;856;1
268;12;866;1
269;3;869;1
270;1;873;1
271;5;882;1
272;10;882;1
273;11;882;1
