id;clusterId;vertexId;distance
0;11;0;1
1;10;5;1
2;4;5;1
3;14;5;1
4;8;5;1
5;8;11;1
6;12;13;1
7;1;21;1
8;10;23;1
9;4;40;1
10;14;40;1
11;0;51;1
12;11;51;0
13;3;51;1
14;8;53;1
15;3;69;1
16;6;72;1
17;10;72;1
18;7;72;1
19;12;72;1
20;8;77;1
21;11;78;1
22;6;81;1
23;8;85;1
24;6;92;1
25;5;95;1
26;1;99;1
27;6;105;1
28;11;105;1
29;5;105;1
30;5;108;1
31;5;116;1
32;4;119;1
33;8;119;1
34;8;131;1
35;6;133;1
36;5;141;1
37;12;144;1
38;14;160;1
39;8;160;1
40;14;161;1
41;12;163;1
42;14;165;1
43;5;170;1
44;11;172;1
45;9;172;1
46;8;172;1
47;12;172;1
48;12;174;1
49;8;188;1
50;12;188;1
51;14;190;1
52;5;190;1
53;4;191;1
54;14;193;0
55;8;206;1
56;12;210;1
57;3;212;1
58;5;220;1
59;6;221;1
60;4;221;1
61;6;226;1
62;8;226;1
63;6;228;1
64;10;228;1
65;7;228;1
66;12;233;1
67;14;239;1
68;6;251;1
69;11;260;1
70;8;277;1
71;6;280;1
72;10;280;1
73;4;280;1
74;7;280;1
75;12;286;1
76;5;293;1
77;0;294;1
78;11;294;1
79;9;297;1
80;1;302;1
81;8;302;1
82;0;310;1
83;9;310;1
84;8;315;1
85;5;316;1
86;1;321;1
87;8;321;1
88;12;332;1
89;5;335;1
90;12;336;1
91;6;340;1
92;10;340;1
93;7;340;1
94;6;341;1
95;11;341;1
96;14;341;1
97;5;341;1
98;7;349;1
99;14;348;0
100;13;350;1
101;1;350;1
102;6;354;1
103;4;354;1
104;8;354;1
105;12;354;1
106;1;359;1
107;14;359;1
108;6;365;1
109;7;371;1
110;2;374;1
111;3;374;1
112;8;374;1
113;13;377;1
114;12;388;1
115;9;393;1
116;5;393;1
117;10;395;1
118;3;395;1
119;8;395;1
120;13;398;1
121;11;398;1
122;14;398;1
123;1;406;1
124;8;406;1
125;2;409;1
126;14;413;1
127;8;413;1
128;12;413;1
129;12;420;1
130;14;425;1
131;5;433;1
132;10;445;1
133;1;450;1
134;8;450;1
135;8;456;1
136;12;456;1
137;8;459;1
138;4;468;1
139;12;468;1
140;8;481;1
141;10;483;1
142;4;483;1
143;13;491;1
144;4;491;1
145;8;499;1
146;2;507;1
